Country,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Italy,375300134,366879032,358409081,364601058,368982391,363187621,380098578,385962261,404741934,439549775,439094031,439315218,431604727,425796750,449826011,444029280,449754083,461945883,466424826,470493152,470575948,478005096,495964765,501567832,502259537,496891877,490602557,478902802,424738934,436153683,424277527,403447214,369834337,349581755,361302482,358060743,352849912,349020446,339772171,303815294
Jamaica,7408473,6214029,6444906,5140603,5041745,4547176,5379035,4525484,6724091,7527165,7750991,7708731,8000958,8188610,9173406,9687622,10068187,9694035,9958188,10313990,10576440,10202580,10667060,10574223,10416539,11577210,10749231,10779635,7933788,7677295,8255605,7912829,8492241,7697454,7995386,8163432,7797546,8038802,8045054,7429454
Japan,926835495,897407791,880909402,937069892,912400813,912259933,902530350,985464274,1021681739,1158007407,1169691855,1179396064,1172339471,1227273012,1239619832,1251530853,1244781173,1204993482,1241611492,1264374642,1249766267,1279120141,1287467746,1282861601,1290371061,1267361874,1303134177,1232313730,1163212931,1214816233,1264866099,1306009842,1315342658,1263728759,1223396445,1203717880,1188122842,1143457876,1105929335,1030775384
Jordan,5825183,6255687,7299946,8246872,8421513,9165052,9506019,9177012,9079754,10476423,9903911,11984199,11774286,13249567,13208063,13825418,14074057,14253067,14266665,15200204,15609517,16420437,16982176,18670695,20436793,20526390,21436498,20717997,21336692,20615325,21243760,23813801,23813152,25895022,25556220,24345622,25561278,25259630,25744983,25487430
Kazakhstan,225146894,229303123,232346223,234213778,252665370,257694147,256440330,273227450,264207283,281461062,271694827,247262845,219593222,185657718,178381106,163940711,155571482,150160515,124985766,149054077,143585019,161037004,178962184,188546939,201799685,221130080,227549584,228670094,223110062,249066913,239660091,245836489,253728845,279032098,288582401,288685797,307908886,317279662,295868526,291335929
Kenya,6473058,4633791,4594671,4253114,3715959,4072961,5075938,4689960,5088479,5687209,4708958,5402381,6214680,6421892,7405763,9154939,8119526,9896093,10028879,10390516,9236819,7819235,6587069,7438961,8338351,9335661,9540667,9911045,11966452,11744792,12928173,11988008,12770061,13772966,16301234,17155983,16322312,18016496,18346944,16146074
Kuwait,25139621,21090278,21541218,28285242,29070175,35230265,31377858,32825111,35771645,37807037,14916435,29648394,49129433,55225776,54589610,49913639,54670690,51560346,53822654,53385365,57485387,57981039,59624099,63108923,71165760,73389651,74875310,82297260,86954965,89272262,86262705,100074047,81704119,75481708,91348969,100858688,95144622,95575260,96651162,88935077
Kyrgyzstan,20096973,20468800,20754219,20929922,22564165,22528313,21726126,21713143,21050677,19369007,16002119,11080756,8502275,6147083,4511588,5664159,5574669,5914543,4648470,4602495,3861425,4920849,5381613,5807885,5514575,5419141,6518943,7546983,6736609,6313962,7553504,9998398,9658305,10095418,10278881,9646228,9348074,11697709,11017920,11507817
Laos,150224,157552,179536,183200,205184,208848,212512,212512,230832,512960,545936,592727,607425,634264,670900,749891,792409,820068,845838,960400,1062694,1165768,1220964,1282484,1337012,1757335,1835383,2131341,2667456,3004513,3170104,3397982,4261159,4449693,9232425,14805657,18661301,19524017,33931652,33846818
Latvia,22846876,23276549,23615068,23829061,25686638,23497340,19242572,18769180,17868815,19661419,17919404,14193385,11921506,10370009,9133772,9211478,8679757,8305866,7717698,7081458,7496320,7520240,7725891,7730969,7810572,8309951,8637220,8197984,7456118,8554205,7810749,7519388,7368417,7171941,7262103,7210325,7214945,7859362,7648184,6772778
Lebanon,5844246,5719422,6942200,6713183,7764934,7478448,7670364,7345655,7720771,7868195,8115152,9726913,10354905,11110825,12254741,12752780,15098693,16286495,16429672,15466264,16406606,16243744,18529028,17208415,16650191,14792376,13746087,17417775,20957555,19996595,20264128,22332032,22163384,23992028,25734552,26500753,27976920,26551199,26657803,25969298
Liberia,1934943,597408,706518,695432,716084,722879,758462,809184,659594,467124,370884,387994,424629,422584,423397,434790,453515,484039,390794,420753,446730,435691,467987,546472,654236,672734,628785,534460,474351,760564,851716,962647,877929,1191526,1203681,1357466,1231620,1085305,1093400,1008984
Libya,28667963,30565102,30146017,28276211,31002177,33895493,32348263,36160364,37068521,36513782,42619846,37024420,38708328,43752489,45689944,44514425,45506217,45807620,45054524,47514863,48462693,48186163,49473554,50628915,56988605,53255754,49977432,53590669,53121373,60652794,49212444,51646672,41914140,71390467,58183529,53485117,54398719,53361533,54509037,50720577
Lithuania,35813776,36499894,37059364,37415503,40311414,35895591,35967113,36258593,36651278,35767734,37849997,21201457,16353746,15801144,15091554,15773444,15196349,16030578,13482975,11876400,12627073,12699159,12692599,13287305,14117412,14434079,15824053,15202501,13042298,13945089,14292805,14345298,13354844,13106691,13319490,13351102,13571832,13696228,13923095,13799480
Luxembourg,9485958,8924177,8364030,9004226,9236842,9111157,8812260,9099730,9846277,11823338,12443139,12209704,12354743,11542458,9151714,9201608,8553962,7675930,8127845,8709917,9207449,9983581,10458916,11828910,12087022,11919754,11316965,11183688,10638338,11207250,11102383,10866201,10320571,9836045,9347989,9092741,9261344,9568440,9752160,8174648
Macao,534944,483648,681504,604560,732800,875696,970960,963632,1029584,1033248,1091872,1080880,1179808,1271408,1231104,1406976,1487584,1557200,1516896,1630480,1685440,1516896,1531552,1714752,1828336,1619488,1363008,1132176,1890624,1234768,1456275,1290790,1203710,1508124,2027991,1769712,1919936,1216448,1256206,1262755
Madagascar,1024540,1013337,650391,866372,1053031,1137097,1282418,1285795,925801,929640,1010210,980861,1006472,1247425,1287705,1340553,1623118,1710612,1817650,1867232,1735646,1232145,1681066,1789720,1726562,1667383,1724027,1779958,1706379,1871843,2381149,2748005,3214813,3161532,3231148,3253198,4122133,4166663,4049824,3679618
Malawi,601542,591348,571666,552936,553429,548451,540712,537201,558211,740232,785906,785968,879964,903270,906678,905386,947181,922942,922104,865487,790660,846135,903374,912251,904839,916686,969425,1087435,1092963,1025136,1140182,1132054,1163078,1020623,1119762,1306376,1364161,1570154,1588500,1394983
Malaysia,30877661,30641940,38048307,34794433,36329771,40101885,40877684,42869204,50083870,54269364,65785134,72961016,86718637,90630988,113933664,113441942,122084586,114237500,108291440,126203049,133988165,135118208,156521332,171102004,181332800,178785308,182455363,201985181,200712944,215935154,216993527,215213034,242487438,244832567,231843940,250560642,250561320,272229353,278659255,272607434
Malta,1143168,1311712,996608,1363008,1198128,1483920,1853984,2011536,2169088,2408463,2255389,2314902,2891126,2669722,2460269,2578446,2586188,2545134,2627594,2545522,2665171,2707481,2979281,2846411,2654256,2665944,2738399,2747132,2532568,2579522,2576836,2760504,2444297,2448395,1740986,1405395,1559427,1538318,1669145,1594903
Martinique,699824,802416,923328,1384992,1110192,1271408,1542544,1630480,1421632,1691619,1573200,1733339,1862968,1999077,2021339,2001211,1973126,1760973,1898035,1963391,2002757,2027886,2180692,2306858,2440966,2378152,2146876,2159031,2297767,2296309,2302944,2277624,2232207,2228880,2264492,2316085,2273248,2252887,2348393,2348393
Mauritius,542272,501968,597232,626544,707152,798752,930656,853712,1051568,1461936,1520560,1707424,1773376,1623152,1828336,1949248,1996880,2169088,2425568,2689376,2861584,2883568,3059440,3088752,3293936,3627360,3685984,3766592,3707968,3913152,3916816,3964448,4067040,4206272,4209936,4345504,4536032,4514048,4377981,3979358
Mexico,283707437,303905051,277565869,276648598,287370505,293412194,306022063,305665561,323480321,317042355,330133158,332780138,338067214,351528180,331596610,345766112,368644797,388356890,390516452,396066364,410697922,411967687,437757538,438856697,463993190,476565216,479786812,492979670,475903054,463782514,484164841,496299580,490129670,481128786,481974591,482798052,459849151,455307901,435512388,356968119
Moldova,37181291,37864607,38418743,38765809,41765067,40694320,38560178,39707605,38695150,36633843,29630992,20978058,15845813,12426964,11405406,11687090,7301343,6443838,4684538,3572952,3786589,4051736,4404268,4613424,4937548,5029747,4978554,5190380,4539512,4830905,4944974,4765682,4899358,4758816,4781760,4903671,5220511,5432857,5156188,5146876
Mongolia,6614668,6712307,6969065,6424712,8997952,9595142,10482516,11492876,10459013,9889986,12120977,10993888,9262624,7927060,7899350,8023326,7688408,7687468,7535224,7486824,7869910,8262491,8007876,8570727,8573710,9405776,12078744,12016684,13073986,13819950,21426490,35030922,43558789,29585990,23243136,25326724,34264826,47537186,88691326,88441761
Montenegro,1734520,1593507,1715921,1809567,1845894,1927794,1882113,1942096,1936169,1915340,1355041,1483274,1293620,1256653,1327336,1552994,1669797,1757580,1211858,1520843,1667268,1766249,1889193,2041278,1750836,2062832,2055504,2605104,1681776,2421904,2407248,2213056,2150768,2106800,2238704,2015200,2103136,2399920,2644994,2309894
Morocco,15718117,16904631,17626518,17645233,17681777,18683950,19904884,20930808,22660664,22297998,23688164,24736784,26778886,28123801,28750270,29524523,29977577,30881156,31985669,33199036,36805697,37306287,36570125,42225556,44660769,46249416,48912715,51369080,50859733,54365200,54867636,56953540,56606417,57174916,58547495,58457476,61628551,62295068,68216612,64536253
Mozambique,2479035,2523930,1954480,1510863,1134944,977139,976747,1006193,1034531,988736,948792,1038198,1191645,1079627,1108989,1091814,1170237,1111895,1168343,1321945,1553994,1537057,1855517,1863973,1769698,1915622,2188865,2179933,2439006,2634548,3106628,2980865,3575519,7899233,6304005,8154896,8322881,6891311,7287610,6570936
Myanmar,5622979,5579515,5753767,6548548,6675517,6756346,4943397,4086656,4425299,4235719,4137416,4841915,5303029,6195949,6907278,7202638,7444900,8036074,8929950,10043900,8681456,9153973,9779282,12370096,11528577,12779149,12794267,9722312,10155758,13082723,15068344,11892871,12937500,16169847,22108664,25437183,24767732,32680027,36047342,36325546
Nepal,453186,442361,492418,701424,676018,697014,860680,975970,893564,721436,1026311,1232929,1397333,1619432,2308915,2352779,2641111,2223327,3191083,3037431,3236078,2596383,2810383,2582410,2986772,2456469,2570341,3351788,4129352,4824304,5220429,5470253,6217840,7591334,6816731,9760014,11647530,13690047,16966544,16957668
Netherlands,164109797,133487127,137357331,144072857,146980001,144014382,151480357,145602742,161664236,161806917,170227322,170015192,170206051,170787871,172300370,181452864,174493997,175462952,169936664,171085017,176210616,175571321,179009426,180896327,176922450,172098275,171881079,174861967,169538599,181537586,168271312,164700439,164684571,157663217,164199889,164925247,162610064,159020034,153599982,138100074
New Caledonia,1390324,1261786,1151198,1202153,1450955,1400822,1454488,1501239,1639517,1576355,1758618,1575469,1828244,1971181,2063132,2183915,1817470,1810016,2055504,2220454,1876642,2392238,2725557,2514913,2809699,2706642,2926788,2848035,2932650,3556595,3539688,3637863,3848731,4873267,4736359,5315237,5345160,5785320,8706294,8692686
New Zealand,16560961,18270238,17998090,19336614,21857954,22945982,24165261,25449338,25453206,25649309,26332770,28274938,27862725,28027524,28148848,29377311,31326236,29930578,31537744,32339419,34490005,34659519,36300950,35953304,37553454,37543425,36657303,37713283,34882460,35031266,34497004,36137911,35304681,35531369,36071297,34304683,35854823,35789215,37494502,33475158
Nicaragua,2134854,2110702,1996688,1846034,1984836,2255542,2430984,2240026,1468317,2043946,1986324,2372617,2282398,2517961,2755058,2847245,3114466,3392724,3597173,3721323,3921750,3989804,4335245,4377836,4270109,4418076,4550682,4365500,4445091,4467845,4805903,4546103,4616400,4756114,5430290,5382658,5504163,5280872,5673088,5073650
Nigeria,65810503,65393573,59705247,69405882,69635960,73192175,59024431,70421346,42119387,38857279,41929195,46265317,44814164,34934724,33416744,36788593,41008773,37745961,39586895,78823114,86718724,94303640,100008039,98685312,105757809,97808933,94269806,94772175,74885064,112314215,129568735,116330752,122098213,127822805,113470026,115821151,114043392,127928170,130104061,125462961
North Korea,114394944,116892097,125163144,134661631,144284694,156835293,175618658,200808131,213071519,122400325,117227150,102962955,94868887,86719860,81260564,71638252,65158403,58769493,64099575,69164938,71664474,68641603,70138024,71721172,74919525,76172160,63478435,70329490,53566587,50022807,36185883,37565141,27013627,30545472,24621411,29412375,21768830,17673845,29379320,29311104
North Macedonia,12845320,11801021,12707584,13401098,13670127,14276650,13938351,14382570,14338672,14184423,10035016,10984672,10123632,10534000,10636592,11684496,10577968,12571184,11666176,11995936,11926320,10867424,11226496,11105584,11178864,10834448,9383504,9295568,8592080,8500480,9196640,8734976,7771344,7459904,7023888,6987248,7503872,7023888,7974674,7146509
Norway,31845462,30956683,31998425,33869787,32347589,34857659,33281316,35676956,34235104,35098000,33540000,34468000,36008000,37914000,38522000,41594000,41756000,41885000,42646000,42171000,43537000,42623000,44012000,44357000,43382000,43972000,45714000,44837000,43268000,45697000,44817000,44342000,44639000,45078000,45616000,44800000,44372000,44469000,42865000,41283000
Oceania,252122044,257191421,247750357,260633525,268324406,268056450,285610352,291932082,308604456,310806408,314080448,320499727,325386130,334462937,342543664,352408520,365180052,375643730,385044934,391609448,402960130,410452456,419239575,433075344,435514013,445148448,450934284,458011016,447206249,451189137,451908773,450679901,441040275,449238205,454010038,465735657,466026027,467724583,471189339,444571198
Pakistan,34232832,37189621,40022189,42557326,46813546,49058621,52988504,57607377,60316616,67827369,67477105,72014921,77175721,84018296,83614359,93538964,93788159,96740735,99389325,105419768,107126423,112903875,117490988,129959785,134756587,143726406,155845590,155356299,155220768,154145307,154659589,153876181,150450706,156243128,169251789,207018569,233977568,238305865,234288957,234754740
Palau,157552,157552,157552,157552,161216,161216,161216,183200,227168,234496,234496,197856,197856,197856,197856,197856,197856,197856,197856,208848,216176,212512,212512,216176,219840,227168,252816,205184,197856,208848,216176,223504,227168,219840,205184,212512,216176,212512,219051,219358
Panama,3322709,3278525,3479672,2867351,2726860,2734755,3179553,2914665,2510273,2631999,3104491,4112287,3784946,4177258,3652970,4446773,4630072,5900714,5622234,5728391,6953090,5821097,6090004,5710970,6971338,7524040,7349627,7334595,8460693,9072099,9952930,9768100,10513283,10855411,10877607,10555175,11211974,10730711,12293851,10779522
Papua New Guinea,1930928,1945584,2007872,2044512,2125120,2062832,2333968,2198400,2033520,2154432,2169088,2191072,2191072,2180080,2059168,2187408,2575792,2861584,2443888,2663728,3206000,3484464,3942464,4484736,4382144,4305200,6115216,4792512,5089296,4660608,5224920,4975712,5331120,6049264,6364322,6635504,6375360,6408336,6617732,6652121
Paraguay,1383157,1362428,1407919,1490034,1547794,1654639,1876639,2143738,2223418,2135640,2103445,2579939,2914101,3404286,3937149,3718801,4127971,4383911,4375923,3606132,3695507,3857264,4031488,4061307,3779891,3908692,4041562,4277954,4531500,5021793,5198721,5173286,5172147,5458230,6051014,7182787,8073223,8509239,8524898,7569706
Peru,24026774,23600101,20392858,20632454,19454626,21775107,25693675,25018145,21762108,21400795,20757895,20985784,23884757,23758891,24668635,24224357,27285191,27608865,29173621,30103859,26980952,27009978,26210112,31708170,36934245,28431739,34669061,40810316,51317629,57173442,48924089,54040984,43062510,49433706,49066819,52719506,53722054,54649143,54977537,44706055
Philippines,34528214,34838528,35239075,30831284,27899133,29024737,32495771,37484705,38906538,41349500,43471884,48292795,48928835,54122468,59950366,61255046,70061731,68252520,68176029,72347741,70303956,70156337,70215303,72771498,73272162,66523624,70762974,77300519,76491831,82952687,83742512,88408213,95794083,101183925,112142406,122237309,134901810,140658221,146614938,136017950
Poland,408996956,420970430,421023769,432467362,444507861,451848670,463732639,444229969,422175098,376807799,373827919,364740656,365441730,360510921,362877091,377563442,367508322,339346464,329535926,317691568,313822673,306583828,319597675,324413220,323384819,337289642,336705592,330453984,316840280,334887520,334305815,326702135,322614415,310280090,313419083,324341690,337682844,336992311,319520975,299592767
Portugal,27000480,28999878,29901627,28793810,27129670,30221141,31198344,32567555,40822222,45333912,47152078,50981725,49496390,50276505,54543421,51837534,54711152,59267636,66906352,65697820,65264097,69748703,64654420,67494689,69713156,64926555,62447181,60122801,57223565,53016778,51814667,49979321,48181541,47961895,52289892,50458265,55230716,51492414,47629084,40387817
Qatar,12840684,12334909,11242561,12298033,12377808,13266982,11470526,11897661,14292370,11411196,17380476,26780341,30684493,30304340,31298254,31668365,36789307,31721741,30755617,34011717,41213508,40702617,41300453,42711403,50690106,63196840,62900592,64256641,68596757,71920193,79647666,92303521,82696788,90418581,90137398,88906547,99757241,106926980,115036775,106654967
Reunion,784096,864704,901344,996608,992944,1077216,1172480,1344688,1388656,1241896,1634721,1771296,1768470,1863625,2063744,2275795,2564613,2643541,2905247,3183404,3310941,3333689,3144830,3268758,3692636,3917450,4108677,4276221,4347017,4486194,4499156,4449690,4360961,4354461,4424034,4524830,4441140,4401362,4587948,4587948
Romania,197730259,195329236,200116439,188816653,193906925,201641336,211631672,212221685,213599490,170879996,140203781,130235047,121018229,119141535,124257313,127571733,116666942,104073457,88097884,92364222,97848990,98049942,102508830,101764847,100259175,103193178,101360332,98580323,81554215,77943429,86047456,83882255,74749877,75594475,76361515,74152250,77203113,77608829,74846270,71475046
Russia,2084697846,2124002311,2154129018,2173259315,2343796323,2344123760,2355475479,2430947449,2400308425,2525517951,2396204964,1957886127,1859679401,1641616084,1613141141,1580375678,1475360211,1458367830,1486300503,1471259489,1507706569,1495693637,1525606991,1530694319,1547599053,1606541855,1604549406,1636923059,1528961075,1613113034,1665206778,1680104359,1619419684,1622588593,1623099849,1618598940,1646456968,1691646718,1679449327,1577136041
Rwanda,600896,608224,696160,633872,615552,597232,611419,692308,684248,523865,472136,479487,482946,462124,454761,464040,482529,481523,502620,515135,522380,518873,509103,515763,514223,514420,542177,527816,558257,573397,647022,718462,782275,827155,919152,1036390,1050459,1142030,1187416,1032737
Saint Lucia,95264,113584,102592,113584,128240,131904,146560,164880,164880,179536,186864,212512,234496,260144,274800,293120,293120,322432,333424,348080,359072,359072,377392,403040,388384,410368,425024,425024,425024,487312,487312,490976,487312,483648,479984,487312,505632,509296,497102,439905
Saint Pierre and Miquelon,40304,40304,32976,36640,32976,47632,51296,65952,102592,91600,102592,95264,73280,69616,69616,69616,47632,54960,54960,54960,54960,58624,62288,58624,62288,65952,65952,65952,65952,65952,65952,65952,65952,65952,65952,65952,65952,58624,57220,50636
Saint Vincent and the Grenadines,36640,40304,47632,65952,65952,65952,76944,65952,76944,80608,84272,84272,102592,120912,128240,131904,131904,161216,164880,146560,179536,186864,197856,219840,219840,216176,234496,219840,278464,219840,216176,230832,219840,252816,234496,241824,216176,241824,236034,208876
Samoa,76944,65952,65952,65952,76944,80608,80608,84272,84272,87936,95264,98928,102592,95264,113584,124576,124576,142896,135568,142896,153888,161216,157552,164880,168544,172208,179536,161216,168544,183200,190528,186864,194192,201520,227168,238160,245488,238160,245489,245833
Sao Tome and Principe,43968,47632,54960,51296,54960,51296,51296,47632,47632,47632,47632,47632,47632,47632,47632,47632,47632,47632,47632,47632,51296,58624,65952,73280,76944,84272,84272,84272,91600,98928,98928,117248,120912,117248,120912,124576,128240,131904,126263,112744
Saudi Arabia,175304540,157893284,160836962,155512397,172421194,204603783,190446877,202251915,203423891,208496989,288545496,316174686,340642423,328139002,262421123,258274784,215807489,207240053,225985542,296363782,296588051,325697903,326517114,394584890,395854760,431291968,386507147,432336410,465844309,517715947,497659010,563179493,540805232,609205617,674878168,639056486,639377966,621952743,622412749,625507882
Serbia,49165254,44978024,48646981,51491805,52622309,54993789,53689070,55460292,55355078,56448232,38615868,42817983,37623281,36326480,38373896,44810297,48323099,50807901,35027196,44950193,48098901,51018599,54764401,59009551,51634114,60838317,59554391,51778176,45895094,45696426,48957080,43724476,44545828,37189122,43746096,45034457,45525947,44260984,49337634,43135397
Sierra Leone,692496,553264,688832,615552,663184,674176,498304,458000,373728,516624,582576,318768,322432,348080,230832,307776,223504,241824,194192,329760,432352,501968,534944,520288,425024,578912,487312,505632,501968,542272,710816,831728,1007600,1110192,875696,905008,912336,952640,960643,877190
Singapore,25706624,28381510,33397360,31968554,32397088,34100848,31810848,35280656,41003824,43535575,44235472,47441472,49661856,60085936,40545824,48012941,56737040,47412160,49200192,48394112,49200212,47093392,49438352,46858896,36467792,43044672,47518416,57572432,90097760,56619792,30271968,48144960,54366432,55209152,62130448,40274688,39065568,46001520,45705294,45503904
Sint Maarten (Dutch part),959572,1072876,551393,1376899,1611602,308949,274663,270563,515039,551561,440131,362614,559760,536654,531064,496778,519884,28696,215034,570568,581003,560133,560506,588084,582866,607463,683862,657774,673054,463610,591438,696160,714480,732800,754784,762112,751120,721808,704525,623462
Slovakia,56840973,56337011,56391145,58377208,57617304,58038299,57337943,56281728,53672834,61475359,53282005,48875446,46332794,43731639,44174112,44041773,44171521,43931936,43061279,41152237,43245270,41974800,42306683,42787218,42792585,42557319,40976332,41372972,37634920,38411715,37999489,35921155,35507167,33591137,34410632,34855945,36030606,36029541,33773451,30730385
Slovenia,14392940,13205202,14222216,15000343,15301302,15980088,15576296,16144544,16064745,15082957,13962073,13872606,14233705,14628136,15342484,15987079,16506545,16035292,15405339,15043127,16288266,16547109,16249618,16679951,16904770,17150495,17315219,18249874,16176752,16431818,16333590,15736752,15106405,13540462,13622783,14425252,14591882,14493544,14005901,12562986
Solomon Islands,135568,120912,142896,142896,150224,153888,161216,157552,161216,146560,157552,161216,172208,183200,190528,197856,205184,216176,216176,223504,234496,245488,256480,274800,282128,289456,300448,307776,318768,329760,344416,348080,373728,329760,293120,289456,285792,289456,298363,298781
Somalia,274800,718144,934320,714480,857376,923328,992944,1003656,952072,730901,707587,680744,640424,629417,589097,567920,538608,512960,490976,479984,501968,586240,593568,593568,593568,593568,608224,600896,597232,611888,611888,608224,630208,630208,630208,637536,637536,637536,665199,562143
South Africa,257099438,280459429,291929963,315624121,323890015,330526289,328695821,342696184,340752493,312972667,326069086,301367423,320391282,338624941,361639961,363672943,385459512,377313339,374830818,378254856,371516696,356357408,404173093,449078688,415924640,446622588,464800275,494642254,502259444,466930008,473948952,461138966,455865944,480627936,450571528,464769069,464198740,464192622,475922616,451957087
South Korea,139612588,140806465,149164997,160734915,168792126,176336820,185398979,210999523,223564630,250469067,275656518,300032947,330271665,355836406,383696012,421094512,445188245,378444346,410995617,440530735,456245393,476789310,485954842,492249170,499564402,504505722,522906312,534024939,539230049,595589920,624550333,628935863,635791455,630594627,635213614,639258641,655747114,671630709,648024558,597605055
South Sudan,302987,318549,325261,291698,338992,353638,278883,403373,312751,433885,406424,363402,250506,344484,356079,367368,449752,389947,422901,459821,529084,674322,753349,951984,912013,998668,1173199,1239105,1290671,1313250,1281212,1330032,1443616,1524224,1912608,1703760,1454608,1337360,1395388,1179207
Spain,206096203,208598534,203435147,197667200,199931395,189112664,189508050,197457895,224885414,231194161,240932255,249831357,241208987,253688033,267458288,254883195,267420095,276064762,299540265,311384586,313343951,333447052,337700854,354611847,369681300,360702602,368546020,336767465,297385075,283872713,284729530,278963927,252726123,255067902,271694203,260757956,274641963,269713437,251498499,208914968
Sri Lanka,4005570,4466889,4854898,3852101,3916566,3660301,4026917,3456638,3447011,3830820,4138236,5106336,4975431,5435205,5814277,6970579,7520293,7735926,8516617,10134099,10326369,10948020,10953041,12147363,11935225,11792541,12151910,11987291,12944645,13050987,14886152,15798102,14679056,17690987,19830283,23027101,23030453,20998382,22824893,21106254
Sudan,3329950,3498865,3571019,3201609,3720366,3883377,3061183,4429775,3430803,4768885,4466480,3989272,2746330,3784971,3902880,4027584,4940026,4285317,4645209,5055397,5817098,7417876,8284643,10470832,10028067,10983681,12904736,13634101,14188878,14397601,14016871,14538701,16175480,16644807,20162632,19311333,21714917,21179973,22031477,18859244
Suriname,2028322,1870567,1372057,1552032,1595856,1756928,1756784,1873888,1851760,1737368,2023142,2030452,2037762,2042253,2060551,2082514,2104476,2104454,2122753,2192347,2362832,1560114,1537767,1555785,1588520,1738560,1756384,1935232,1994368,2395704,2179800,2634976,2744348,2808578,2702357,2275902,2474054,2514342,2520260,2224178
Sweden,69388504,62256745,58268315,57308088,62364008,62009779,59694709,57425122,55520775,57378338,57752857,57495155,57536238,59999754,59414424,63349951,58251198,58721858,55857374,54709803,55637649,56606994,57188352,56501179,53884416,53702639,52970191,50886839,47252201,53126353,49257269,46773851,45205996,43335944,43602601,43262009,42593728,42095408,40936867,38634794
Switzerland,38812390,36585737,40022811,39128720,39780898,42246574,40205245,40662425,39419076,44152768,46132169,46008823,43600912,42675783,43412719,44098704,43037152,44614714,44445861,43617591,45082401,43467507,44651905,45236397,45788174,45373455,43368090,44714048,43534481,45049377,40985444,42254632,43185681,39231220,38731004,39192544,38182513,36867631,36741865,32298333
Syria,26534616,24364443,27774501,32849009,29389377,31073248,35942867,36679117,34271281,37045335,42200815,42561742,45221633,46190068,41200149,42322200,45377967,49756322,51772170,50481212,48139900,38439424,53581772,50384730,49881564,52841498,65718960,66876696,61562260,60716515,57784694,47230831,34233685,30841237,28162773,29079394,32050898,30365540,31008655,30531928
Taiwan,75043167,75376099,83126546,84853671,84722327,94321231,98172144,113075299,123107163,124066000,133586000,142172000,153793000,161160000,168873000,176779000,190542000,200159000,207796000,226979000,229927000,237650000,248401000,257883000,266460000,276159000,279800000,266595000,252506000,270148000,276283000,272756000,273797000,276311000,275836000,279705000,284812000,282843000,275333035,273174653
Tajikistan,11665589,11884464,12054510,12160923,13107279,12635212,12124975,12936859,12773730,12084023,9767464,7308103,5170596,2355098,2445277,2823798,2150084,2496671,2517199,2233862,2287606,1877243,2070857,2560492,2439487,2655168,3227096,2896020,2443974,2536415,2340736,2933412,2906893,4600122,5302282,6439912,7865014,9107618,8634131,9447656
Tanzania,2106825,2148300,2196304,2346983,2337900,2277593,2367510,2271686,2161598,2112309,2255268,2177588,2426036,2063123,2433890,2526706,2824358,2480937,2458755,2571821,3040810,3485616,3687241,4232275,5359481,5879905,5709808,5914939,5770842,6926654,7751513,9061880,9908632,9900388,10638599,10873052,11406687,11790770,12042585,10938632
Thailand,37816773,37635606,42117330,45555778,48230370,49223372,56306165,66202873,77784244,87915996,96747882,105963545,120910965,133299375,155516901,173728728,178593874,158145193,164986687,168799992,180708336,190810365,201992577,217170703,222990024,226330572,229410130,226873490,242273730,255404865,253612185,270267908,287597656,282648370,285687648,283434535,285959563,276176956,271624559,257765782
Togo,706484,817874,623627,694581,659031,847915,924976,963449,1024183,977644,1049806,1030496,1068807,1006679,1174741,1265171,878986,1289967,1850434,1331372,1158913,1322471,1804731,1743929,1721591,1500506,1516752,1522778,2740838,2595698,2503920,2215629,1642552,1541898,1865704,2306416,2210120,2290044,2305160,2191571
Tonga,47632,43968,47632,47632,47632,47632,54960,69616,69616,76944,95264,69616,84272,91600,95264,76944,98928,87936,109920,95264,87936,102592,117248,109920,113584,128240,113584,120912,131904,117248,102592,106256,113584,113584,120912,128240,157552,139232,143516,143718
Trinidad and Tobago,17242381,18405236,16275545,17504409,20723080,17354846,17489066,15833101,16105027,16981163,16968163,19102764,17411193,17024210,16460280,20768035,20559595,19750647,22464441,24191265,26569367,28591178,32250868,32575769,37944097,42414371,45234589,44095716,44220307,46957412,46680091,45555809,45235944,46344356,45121718,40052240,39948219,40475386,40378454,35509414
Tunisia,9800159,9492860,11249748,11488525,11870937,11992358,11663346,12376845,13140447,13126084,15363726,14890977,16352595,15777158,15546934,16580878,16747231,17808539,18118679,19671641,20545596,20558744,20925683,21926618,22268761,22601843,23684283,24333185,24321470,27101189,25526012,26305893,26864333,27893503,29271750,29007769,29231486,29362809,30010549,28126702
Turkey,79185990,86210026,89812184,94906029,105662356,115617877,128442187,124727506,137569948,151508468,157982005,163922250,171011163,167433113,180903047,199521939,212005568,212040282,207804163,229790601,213486094,220977701,236483893,244464112,264200797,281649185,312736708,309321195,315359638,314380033,339482252,353666209,345220584,361675463,381331943,401239738,425329230,419436905,399344914,392794051
