Country,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bosnia and Herzegovina,17566318,16135967,17375726,18324131,18691650,19520177,19056489,19663324,19602901,19314215,13633321,15028713,12580576,3204952,3402028,4239503,8365765,10550597,10333251,13702201,13262811,14172601,14358120,15462454,16045984,17386820,17474332,19958649,20537094,21145704,23761289,22134174,21801049,19311786,18460491,21734016,21819086,22075036,24846861,21417961
Brazil,170621577,170923823,165522685,167683238,180004339,197292556,205838856,207596211,212130682,218658000,229394000,233601000,244306000,254002000,268678000,289311000,306949000,317359000,327256000,340183000,346166000,347765000,344645000,361434000,364371000,368871000,390573000,412638000,389775000,440269000,462580000,498309000,532418000,557901000,529353000,492748000,500757715,483685288,485793146,467383500
Brunei,2059168,2664731,2733344,1916272,2594112,2297328,3315920,5712176,6342384,6188496,5305472,5210208,4964720,4689920,4785184,4741304,4931744,5158912,3803232,4590992,4389472,4253904,4470165,4873120,4869456,4737552,8309952,8991456,7745739,8060800,9544720,9493476,7628448,8925504,6954272,7544129,9552048,9592352,9958114,10158494
Bulgaria,80086800,89844183,90061303,87044932,89221333,91172269,91273155,86913327,86482227,76698698,61517284,57365193,58425943,56403945,57950326,58500870,55856050,53174881,46380143,45465687,48981924,46156421,50533439,49585121,50656287,51894237,55740359,54079063,45814698,47860746,53176425,48340677,42680429,45216885,48275619,45502398,47582294,43637529,42222519,37444110
Burundi,157552,157552,205184,219840,230832,234496,249152,227168,267472,208848,238160,216176,227168,234496,238160,241824,249152,249152,252816,271136,205184,212512,161216,197856,153888,183200,201520,208848,168544,296784,354138,379170,397996,374917,390866,467437,530397,679317,704031,602181
Cambodia,300448,337088,366400,410368,417696,432352,436016,450672,450672,1260416,1304384,1348352,1384992,1425296,1498576,1516896,1465600,1875968,1894288,1974896,2249696,2205728,2377936,2443888,2773648,2997152,3471142,3881372,4557086,5100364,5194090,5451440,5578106,6493802,8526534,10533328,12874906,12878613,15329057,15325618
Cameroon,5319124,6315888,6554480,6052928,6470624,1993216,1842992,2153961,7577693,2604793,2668440,2712299,2865801,2841138,3203724,3593879,3157376,3136039,2996919,3345986,3325841,3325343,3698676,3851285,3591290,3752466,5703100,5426016,6594050,6662047,6520807,6159371,5070387,6849789,7746169,7815194,7698500,7931958,7397993,6889318
Canada,429629720,414454925,408338502,425233330,421718695,404707950,430982059,455669111,462885150,458007408,449699173,463521037,463993303,478267071,490951380,506999620,521278446,528987104,543729999,566552294,559042165,564669174,582343586,580758769,575852411,571409763,594665366,579367139,546610441,558804007,569870198,569262731,573698737,570563417,573061376,559566962,569360436,579470372,582389608,535822990
Cape Verde,32976,36640,36640,84272,84272,58624,80608,73280,80608,95264,98928,106256,109920,113584,120912,142896,146560,157552,183200,216176,234496,274800,307776,329760,439680,472656,505632,468992,520288,556928,615552,501968,494640,487312,490976,538608,578912,597232,602249,549930
Chile,24339015,20469871,20667594,21996919,21283755,22013361,22399415,26586553,32002717,32891315,30949909,31978344,33953348,37516676,41072182,47611140,55433244,56786960,60890176,58095520,52558259,54470908,54864180,59026076,60926496,63949324,70683248,70795160,65900503,71310955,78064404,79683581,81810868,77573779,81824471,84392028,84046028,84409267,86129263,81171490
China,1476487854,1606585013,1694216811,1844828012,1998082904,2104213354,2257738539,2425893553,2463654367,2484854820,2606096182,2730787587,2921650956,3100002045,3357908888,3503233703,3510169286,3360455433,3350340129,3439152210,3514933795,3872595297,4545013886,5223754656,5876555340,6488803816,6978611952,7496832207,7886532768,8616652695,9528555734,9775621803,9952743755,9985583382,9848419740,9720444086,9920459189,10289989525,10489988555,10667887453
Colombia,44260323,45679301,49209648,48701539,48079490,48754285,50123985,52017412,52792806,56897743,56654080,61494680,63337803,66790576,58775392,59770880,64496528,65157688,54761240,56258838,55938888,55430416,57093904,54569256,60059624,62004536,60178840,66650056,72556720,76278424,76079775,79727172,87427856,88699143,91965358,93241979,86295788,84880525,90419306,89104941
Costa Rica,2236213,2070622,2088813,1980949,2242455,2577534,2723861,2905922,2933345,2913015,3287914,3741868,3890892,5199850,4800770,4686377,4916182,5234101,5437766,5393873,5666567,6245400,6582545,6841678,6723403,7006724,7960740,7989944,7747752,7492647,7310815,7260085,7631517,7748309,7406021,7922925,8311622,8222150,8817911,7907389
Croatia,17556620,16126209,17413671,18425411,18854420,19784027,19312869,20023574,19979560,22977726,16986189,16371432,16807979,16052777,16816449,17344006,18557198,19011850,20022950,19660565,20783249,21887758,23214314,22891547,23345544,23554158,24866343,23598669,21808549,21019201,20651988,19088544,18435627,17682216,17817233,18083057,18718063,17698215,17778838,16982010
Cuba,32723480,34527343,30820618,32580693,32556045,33546752,33933262,35616447,35719059,29648420,27170202,20593126,19822771,21382319,22835124,23332951,24808969,24293962,24467107,25775495,25215883,25523650,25942743,25221231,24442108,24693041,24240301,28108268,28396318,34199817,29431084,29742048,28024016,27441780,29311009,28177648,25207628,22608510,22524658,20152280
